Date,Open,High,Low,Close,Volume
2/8/2017,53.389999,53.389999,52.720001,52.889999,9229000
2/9/2017,52.91,53.099998,52.759998,52.880001,7615100
2/10/2017,53.099998,54.279999,52.93,54,14042200
2/13/2017,54.580002,55.130001,54.259998,54.93,14516200
2/14/2017,55.43,55.52,54.82,55.48,13061700
2/15/2017,55.630001,56.5,55.490002,56.490002,14149200
2/16/2017,56.580002,56.900002,56.450001,56.880001,11622900
2/17/2017,56.849998,56.939999,56.049999,56.459999,12456600
2/21/2017,56.830002,57.189999,56.580002,56.75,9878200
2/22/2017,56.779999,57.099998,56.48,57.099998,8711500
2/23/2017,57.009998,57.310001,56.77,57.139999,10152800
2/24/2017,57.02,57.23,56.5,57.220001,10644800
2/27/2017,56.560001,56.98,56.310001,56.73,7127600
2/28/2017,56.490002,56.52,55.889999,56.48,10388200
3/1/2017,56.93,57.080002,56.27,57.009998,11082400
3/2/2017,56.950001,57.150002,56.240002,56.369999,8451700
3/3/2017,56.52,56.57,56,56.439999,6971400
3/6/2017,56.27,56.560001,56.07,56.450001,7241600
3/7/2017,56.599998,56.82,56.189999,56.73,7131700
3/8/2017,56.919998,58.080002,56.799999,57.77,13201700
3/9/2017,57.650002,58.099998,57.400002,57.970001,9875600
3/10/2017,58.360001,58.790001,58.299999,58.639999,9752000
3/13/2017,59.029999,59.040001,58.200001,58.459999,7737900
3/14/2017,58.380001,58.380001,57.720001,58.220001,6276900
3/15/2017,58.419998,58.75,58.18,58.52,9029500
3/16/2017,58.299999,58.73,58.16,58.349998,7206200
3/17/2017,58.57,58.610001,57.509998,57.549999,20057800
3/20/2017,57.790001,58.07,57.59,57.810001,7498200
3/21/2017,57.93,58.099998,56.740002,56.799999,10092600
3/22/2017,56.73,57.130001,56.099998,57.040001,9129700
3/23/2017,57.16,57.27,56.59,56.810001,7718700
3/24/2017,57.470001,57.470001,56.639999,56.919998,5621400
3/27/2017,56.720001,56.939999,56.48,56.66,4726300
3/28/2017,56.669998,57.610001,56.669998,57.380001,5953500
3/29/2017,57.09,57.369999,56.860001,57.360001,4042600
3/30/2017,57.360001,57.650002,57.189999,57.200001,6359000
3/31/2017,57.459999,57.689999,56.970001,57.34,10065000
4/3/2017,57.259998,57.34,56.040001,56.5,11343500
4/4/2017,56.299999,56.91,56.25,56.68,7123900
4/5/2017,56.799999,57.529999,56.419998,56.470001,7857700
4/6/2017,56.439999,56.73,56.139999,56.529999,5757800
4/7/2017,56.580002,56.599998,56.189999,56.32,5229800
4/10/2017,56.43,56.810001,56.27,56.52,6039800
4/11/2017,56.32,56.360001,54.720001,55.349998,17301800
4/12/2017,54.639999,54.650002,53.119999,53.389999,24822200
4/13/2017,53.130001,53.68,52.779999,52.790001,17014400
4/17/2017,52.990002,53.130001,52.75,52.889999,10471700
4/18/2017,52.599998,52.98,52.389999,52.669998,11262800
4/19/2017,53,53.099998,52.299999,52.610001,15441500
4/20/2017,53.220001,53.400002,51.400002,52.66,24664600
4/21/2017,52.77,52.799999,52.209999,52.5,10951500
4/24/2017,53.009998,53.25,52.75,52.810001,10784400
4/25/2017,53.169998,53.490002,52.959999,53,11688700
4/26/2017,53.200001,53.299999,52.91,53.040001,7373800
4/27/2017,53.240002,53.34,52.91,53.209999,6956200
4/28/2017,51.799999,53.950001,51.049999,53.740002,34362500
5/1/2017,53.650002,53.700001,53.099998,53.599998,12987700
5/2/2017,53.650002,53.73,52.900002,53.290001,10445400
5/3/2017,53.41,54.77,53.25,54.490002,18428300
5/4/2017,54.73,55,54.5,54.91,11993400
5/5/2017,54.93,55,54.700001,54.93,9108800
5/8/2017,54.990002,55,54.560001,54.619999,7033400
5/9/2017,54.689999,55.189999,54.630001,55.150002,8332900
5/10/2017,55.220001,55.43,54.860001,55.330002,8517700
5/11/2017,55.25,55.299999,54.41,54.68,13514700
5/12/2017,54.5,55.349998,54.400002,55.32,9107600
5/15/2017,55.080002,55.490002,55.080002,55.400002,10686100
5/16/2017,55.389999,55.98,55.099998,55.950001,9599300
5/17/2017,55.639999,56.080002,55.299999,55.360001,14811300
5/18/2017,55.580002,56.310001,55.02,56.119999,13125300
5/19/2017,56.490002,57.790001,56.200001,57.669998,16643800
5/22/2017,58.389999,59.540001,58.380001,59.279999,20771500
5/23/2017,59.380001,59.889999,59.130001,59.220001,14223400
5/24/2017,59.279999,59.619999,58.57,58.639999,8592600
5/25/2017,58.650002,58.950001,58.259998,58.450001,9556500
5/26/2017,57.66,57.98,57.369999,57.52,8261900
5/30/2017,57.279999,57.740002,57.169998,57.34,11553700
5/31/2017,57.259998,57.73,57,57.27,14082600
6/1/2017,57.450001,58.650002,57.349998,58.619999,11560100
6/2/2017,58.889999,58.959999,58.349998,58.580002,9538000
6/5/2017,58.5,59.049999,58.48,58.860001,7960800
6/6/2017,58.599998,58.91,58.18,58.200001,7871500
6/7/2017,58.299999,58.490002,57.130001,57.529999,10126500
6/8/2017,57.77,58.150002,57.610001,58.119999,10261900
6/9/2017,58.369999,58.490002,56.740002,57.049999,13624800
6/12/2017,56.52,57.68,56.48,57.490002,9985100
6/13/2017,57.950001,58.07,57.5,57.540001,7111500
6/14/2017,57.700001,57.970001,56.669998,57.009998,6740000
6/15/2017,56.419998,57.169998,56.400002,56.93,5416600
6/16/2017,56.98,57.009998,56.349998,56.82,14555600
6/19/2017,56.959999,57.66,56.91,57.610001,7166200
6/20/2017,57.459999,57.610001,56.509998,56.790001,8181600
6/21/2017,56.790001,56.84,56.119999,56.330002,8324900
6/22/2017,56.240002,56.75,56.060001,56.470001,5560100
6/23/2017,56.639999,57.439999,56.57,56.91,11847900
6/26/2017,57.09,57.689999,56.209999,56.560001,7339100
6/27/2017,56.290001,56.330002,55.41,55.43,6814400
6/28/2017,55.400002,56.32,55.18,56.16,7542400
6/29/2017,55.93,55.93,54.549999,55.080002,8456900
6/30/2017,55.599998,55.630001,55.029999,55.220001,8781900
7/3/2017,55.529999,56.02,54.919998,54.950001,4379600
7/5/2017,55.009998,55.560001,54.779999,55.450001,6823800
7/6/2017,55.02,55.23,54.740002,54.790001,5663000
7/7/2017,55.040001,55.73,54.869999,55.349998,5356000
7/10/2017,55.369999,55.889999,55.189999,55.639999,5098100
7/11/2017,55.630001,55.630001,55.02,55.330002,6124900
7/12/2017,55.790001,56.310001,55.720001,56.200001,6126800
7/13/2017,56.380001,56.52,56.169998,56.23,6219200
7/14/2017,56.5,56.93,56.150002,56.810001,4440100
7/17/2017,56.73,56.919998,56.389999,56.459999,5123600
7/18/2017,56.34,56.380001,56,56.290001,7441000
7/19/2017,56.459999,56.939999,56.009998,56.779999,8783700
7/20/2017,55.110001,55.43,53.459999,53.970001,35943900
7/21/2017,53.66,54,53.369999,53.84,12113100
7/24/2017,53.75,53.880001,53.09,53.220001,8832200
7/25/2017,53.200001,53.650002,53.07,53.27,7112100
7/26/2017,53.290001,53.349998,52.740002,53.139999,7581500
7/27/2017,53.080002,53.369999,52.23,52.490002,14069200
7/28/2017,52.27,52.990002,52.27,52.880001,6644300
7/31/2017,53.099998,53.299999,52.75,53.189999,11302700
8/1/2017,53.299999,53.43,52.91,53.41,9372100
8/2/2017,53.299999,53.389999,52.779999,53.169998,23084000
8/3/2017,53.16,53.34,52.75,52.950001,8643500
8/4/2017,53,53,52.509998,52.619999,8677900
8/7/2017,52.5,52.849998,52.490002,52.700001,6561800
8/8/2017,52.549999,53.330002,52.209999,52.290001,10462200
8/9/2017,52.049999,52.799999,52,52.77,8085300
8/10/2017,52.540001,52.75,52.110001,52.34,10768000
8/11/2017,52.389999,53.130001,52.290001,52.720001,5894200
8/14/2017,53.040001,53.639999,52.91,53.549999,8116900
8/15/2017,53.66,54.080002,53.349998,53.869999,7876300
8/16/2017,54.060001,54.099998,53.259998,53.310001,7414900
8/17/2017,53.189999,53.41,52.27,52.27,6589400
8/18/2017,52.259998,52.419998,51.900002,51.919998,6696400
8/21/2017,52,52.080002,51.5,51.98,5205700
8/22/2017,52.209999,52.619999,52.209999,52.349998,4443300
8/23/2017,52.299999,52.41,51.779999,52.23,5259300
8/24/2017,52.369999,52.709999,52.259998,52.490002,6198600
8/25/2017,52.779999,52.849998,52.02,52.029999,8684700
8/28/2017,51.77,51.810001,51.459999,51.810001,4519000
8/29/2017,51.310001,51.860001,51.279999,51.810001,4980900
8/30/2017,52.23,52.290001,51.560001,52.119999,4876200
8/31/2017,52.259998,52.59,52.119999,52.27,8215800
9/1/2017,52.529999,52.77,51.93,52.049999,5301300
9/5/2017,51.860001,51.900002,49.830002,50.029999,17811100
9/6/2017,50.189999,50.77,49.830002,50.450001,16206900
9/7/2017,50.560001,50.689999,50.25,50.380001,10035500
9/8/2017,50.349998,50.450001,48.919998,49.639999,12809400
9/11/2017,49.939999,50.669998,49.91,50.57,7473500
9/12/2017,50.599998,51.07,50.52,50.900002,4526800
9/13/2017,50.799999,51.110001,50.720001,51.009998,6191400
9/14/2017,50.970001,51.59,50.669998,51.48,7741300
9/15/2017,51.950001,52.290001,51.439999,52.189999,13177900
9/18/2017,52.240002,52.369999,51.959999,52.25,6002700
9/19/2017,52.400002,52.5,52.060001,52.299999,5825200
9/20/2017,52.43,52.52,51.48,51.98,8400300
9/21/2017,51.860001,52.200001,51.709999,52.029999,5750600
9/22/2017,51.82,52.23,51.779999,52.09,4105100
9/25/2017,51.900002,52.290001,51.610001,51.619999,8178400
9/26/2017,51.75,51.869999,50.849998,51.130001,9378800
9/27/2017,51.43,51.610001,51.150002,51.549999,8200600
9/28/2017,51.380001,52.040001,51.310001,51.75,5732900
9/29/2017,51.91,52.040001,51.619999,51.84,5371200
10/2/2017,52.09,52.16,51.700001,51.880001,4439200
10/3/2017,51.990002,52.220001,51.650002,52.02,4378000
10/4/2017,51.93,52.119999,51.669998,51.959999,4587700
10/5/2017,52.169998,52.43,51.959999,52.349998,5179100
10/6/2017,52.16,52.630001,52.16,52.490002,4795300
10/9/2017,52.68,52.98,52.380001,52.880001,5817500
10/10/2017,52.950001,53.900002,52.900002,53.869999,8761700
10/11/2017,53.790001,54.380001,53.66,54.119999,9427300
10/12/2017,53.880001,54.18,52.959999,53,7062300
10/13/2017,53.380001,53.380001,52.740002,52.82,7005600
10/16/2017,52.98,53,52.310001,52.380001,5930900
10/17/2017,52.32,52.439999,51.849998,52.41,7662900
10/18/2017,52.540001,52.669998,52.02,52.209999,6032600
10/19/2017,52.029999,52.400002,52.009998,52.290001,6825200
10/20/2017,52.509998,52.59,51.939999,52.02,8845000
10/23/2017,52.299999,53.779999,52.130001,53.389999,9775400
10/24/2017,53.439999,54.439999,53.400002,54.25,11415700
10/25/2017,53.98,54.43,53.48,53.84,7581500
10/26/2017,54.099998,54.389999,53.669998,53.799999,5270800
10/27/2017,53.700001,54.700001,53.360001,54.57,8962400
10/30/2017,54.16,54.77,54.080002,54.66,7081500
10/31/2017,52.259998,52.490002,50.02,51.009998,29914100
11/1/2017,51.470001,53.490002,50.509998,53.459999,15624400
11/2/2017,53.599998,55.68,53.599998,54.84,17337800
11/3/2017,54.759998,64.989998,54.209999,61.810001,80964500
11/6/2017,64.540001,65.330002,62.150002,62.52,58900800
11/7/2017,62.52,64.160004,62.450001,64.099998,23424600
11/8/2017,64.209999,65.790001,64.209999,65.489998,26515400
11/9/2017,64.910004,65.330002,63.93,64.599998,15954900
11/10/2017,64.360001,65.099998,63.919998,64.57,9626200
11/13/2017,64.959999,66.82,64.75,66.489998,24411600
11/14/2017,66.160004,66.800003,65.550003,66,14036700
11/15/2017,65.550003,66.480003,65.239998,65.610001,10565400
11/16/2017,65.769997,66.540001,65.43,66.110001,12339800
11/17/2017,66.370003,66.949997,66,66.720001,13334000
11/20/2017,66.18,66.849998,65.949997,66.470001,9749400
11/21/2017,65.349998,66.93,65.269997,66.669998,11215800
11/22/2017,66.370003,68.260002,66.239998,68.129997,15489400
11/24/2017,68.510002,69.279999,68.449997,68.910004,9233500
11/27/2017,68.599998,68.919998,68.040001,68.139999,20404600
11/28/2017,67.589996,68.410004,67.220001,68.379997,12861300
11/29/2017,68.099998,68.199997,66.029999,66.519997,17022200
11/30/2017,66.510002,67.099998,65.720001,66.339996,15555600
12/1/2017,65.199997,66.120003,64.599998,65.489998,15851100
12/4/2017,65.599998,65.699997,63.799999,64.559998,17325100
12/5/2017,64.849998,65.029999,64.400002,64.690002,9661200
12/6/2017,64.639999,65.68,64.360001,64.980003,6952300
12/7/2017,65.209999,65.550003,64.769997,65.230003,8755000
12/8/2017,65.599998,65.599998,63.880001,64.239998,9371900
12/11/2017,64.059998,65.260002,64,65.18,12185000
12/12/2017,64.879997,65.110001,64.550003,64.860001,7021200
12/13/2017,64.980003,65.43,64.830002,64.900002,6490400
12/14/2017,64.860001,65.169998,64.550003,64.699997,7122000
12/15/2017,65.330002,65.419998,64.5,64.760002,18833000
12/18/2017,64.93,65.459999,64.800003,65.379997,7440900
12/19/2017,65.110001,65.480003,64.43,64.5,7130000
12/20/2017,64.559998,65.169998,64.330002,64.599998,6933600
12/21/2017,64.75,64.959999,64.339996,64.389999,5451100
12/22/2017,64.309998,64.980003,64.300003,64.730003,4444300
12/26/2017,64.489998,64.940002,64.199997,64.300003,4236500
12/27/2017,64.32,64.639999,64.18,64.540001,4899600
12/28/2017,64.690002,64.730003,64.349998,64.379997,2451300
12/29/2017,64.360001,64.650002,64,64.019997,6631800
1/2/2018,64.379997,65.330002,64.169998,65.199997,6329600
1/3/2018,65.220001,66.059998,64.690002,65.940002,6844200
1/4/2018,66.18,66.529999,65.910004,66.029999,5060100
1/5/2018,66.040001,66.599998,65.5,66.470001,5421800
1/8/2018,66.25,66.529999,65.940002,66.269997,4266900
1/9/2018,65.639999,65.860001,64.940002,65.269997,7632300
1/10/2018,65.480003,65.739998,64.879997,65.260002,6569300
1/11/2018,65.199997,65.5,65.139999,65.43,4233100
1/12/2018,65.610001,65.900002,65.080002,65.379997,5007200
1/16/2018,66.230003,68.650002,66.029999,68.25,24478800
1/17/2018,68.519997,68.900002,67.239998,68.019997,12559100
1/18/2018,67.75,68.18,67.489998,68.050003,6797900
1/19/2018,68.040001,68.25,67.75,68.040001,8864300
1/22/2018,67.809998,68.75,67.709999,68.669998,8566200
1/23/2018,68.599998,68.900002,68.239998,68.339996,7825600
1/24/2018,68.199997,68.290001,67.379997,67.980003,12383100
1/25/2018,68.139999,68.370003,67.290001,67.419998,9122200
1/26/2018,67.940002,68.529999,67.599998,68.529999,7919000
1/29/2018,68.160004,68.300003,67.239998,67.32,9745300
1/30/2018,67.43,67.910004,66.730003,66.989998,8059500
1/31/2018,67.550003,68.379997,67.459999,68.25,13915600
